typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,price_per_kg_usd
C,M,20240101,2024,1,202401,699,IND,India,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,421.0,False,8,kg,421.0,False,421.0,False,0,False,,9042.27,9042.27,0,False,True,21.478076009501187
C,M,20240201,2024,2,202402,757,CHE,Switzerland,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,240.0,False,8,kg,240.0,False,240.0,False,0,False,,6919.365,6919.365,0,False,True,28.8306875
C,M,20240401,2024,4,202404,699,IND,India,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,127.0,False,8,kg,127.0,False,127.0,False,0,False,,13428.704,13428.704,0,True,False,105.73782677165354
C,M,20240501,2024,5,202405,380,ITA,Italy,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,360.0,False,8,kg,360.0,False,360.0,False,0,False,,5893.745,5893.745,0,True,False,16.371513888888888
C,M,20240701,2024,7,202407,699,IND,India,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,601.0,False,8,kg,601.0,False,601.0,False,0,False,,15348.197,15348.197,0,False,True,25.537765391014975
C,M,20240701,2024,7,202407,757,CHE,Switzerland,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,240.0,False,8,kg,240.0,False,240.0,False,0,False,,6685.043,6685.043,0,False,True,27.854345833333333
C,M,20240901,2024,9,202409,380,ITA,Italy,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,60.0,False,8,kg,60.0,False,60.0,False,0,False,,1210.554,1210.554,0,True,False,20.175900000000002
C,M,20240901,2024,9,202409,699,IND,India,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,630.0,False,8,kg,630.0,False,630.0,False,0,False,,13353.703,13353.703,0,False,True,21.196353968253966
C,M,20241201,2024,12,202412,757,CHE,Switzerland,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,240.0,False,8,kg,240.0,False,240.0,False,0,False,,6608.463,6608.463,0,False,True,27.535262499999998
C,M,20250101,2025,1,202501,699,IND,India,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,30.0,False,8,kg,30.0,False,30.0,False,0,False,,1757.939,1757.939,0,False,True,58.59796666666667
C,M,20250401,2025,4,202504,380,ITA,Italy,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,400.0,False,8,kg,400.0,False,400.0,False,0,False,,8962.189,8962.189,0,True,False,22.405472500000002
C,M,20250601,2025,6,202506,699,IND,India,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,33.0,False,8,kg,33.0,False,33.0,False,0,False,,1640.997,1640.997,0,False,True,49.72718181818182
C,M,20250601,2025,6,202506,826,GBR,United Kingdom,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,250.0,False,8,kg,250.0,False,250.0,False,0,False,,35981.062,35981.062,0,False,True,143.924248
